ID	logFC	t	P.Value	adj.P.Val	B
204	NRIP1	-1.59657006433272	-13.1583738392321	2.99257658850995e-25	3.52362290676189e-23	46.8564565492309
3095	REXO4	1.52626296563647	13.1447236436286	3.22620099143113e-25	3.73087100366214e-23	46.7820109678672
3535	SCFD1	-1.29857659459107	-13.1280168658744	3.53717027135246e-25	4.01872187320676e-23	46.6908763477377
6024	FAM175A	-1.53121666020759	-13.1247037208333	3.60232142853238e-25	4.02217820192685e-23	46.6728008325438
6409	EFHA1	-1.42528002512054	-13.1027893350338	4.06462184933709e-25	4.46143916886559e-23	46.5532220276043
934	MYLK	-2.57412351540102	-13.0743037991036	4.75559062459246e-25	5.13286748081013e-23	46.3977337917307
306	KTN1	-1.30108775190161	-13.0507666691424	5.41456301119643e-25	5.74831312467345e-23	46.2692115438761
4643	UFSP2	-0.954416663955984	-13.0410959574229	5.71116472390667e-25	5.96540366968058e-23	46.2163938616536
371	MAFG	1.29833711899295	13.0320017927987	6.00492799126298e-25	6.17268470974906e-23	46.1667188777142
1895	BCAS2	-1.33363351665224	-12.9814183927419	7.93809522106267e-25	8.03236010181279e-23	45.8903091729326
5494	SEC23IP	-1.05850525035901	-12.9445381821257	9.73057618980466e-25	9.63848306994917e-23	45.6886651789187
1681	VGLL4	1.09629632745798	12.9414937330736	9.89554298794458e-25	9.63848306994917e-23	45.6720152690208
1618	AKAP8L	1.42428970060053	12.940102278734	9.97187099577817e-25	9.63848306994917e-23	45.6644052729154
4600	RPRD2	1.10695075119154	12.9238150432219	1.091041970699e-24	1.02937589914365e-22	45.5753188069458
5919	C4orf41	-1.01229068914599	-12.9228667210337	1.09677172700605e-24	1.02937589914365e-22	45.5701311911613
1273	NSD1	1.25516223690119	12.9075777930391	1.19342270800612e-24	1.10408649386395e-22	45.4864874367498
3723	HBA2	2.34320402941377	12.8860651237576	1.34404826592364e-24	1.22592346058049e-22	45.3687671416622
587	SNX2	-1.03733880992965	-12.8757424641147	1.42294919837704e-24	1.2798637512069e-22	45.312268879986
